key1,Condo Name,Address,GPR,simp_gpr,area
1915,TREVOSE PARK,"TREVOSE PARK, Singapore",1.4,1.4, 
1917,TRILIGHT,"TRILIGHT, Singapore",1.4,1.4,
1918,TRILIVE,"TRILIVE, Singapore",1.4,1.4,
1919,TROPICAL SPRING,"TROPICAL SPRING, Singapore",2.3,2.8, 
1924,TWENTYONE ANGULLIA PARK,"TWENTYONE ANGULLIA PARK, Singapore",2.8,2.8,"4,562.9 sqm"
1925,TWIN FOUNTAINS,"TWIN FOUNTAINS, Singapore",1.4,1.4,
1926,TWIN HEIGHTS,"TWIN HEIGHTS, Singapore",3.0,3.0,"11,109.1 sqm"
1927,TWIN PEAKS,"TWIN PEAKS, Singapore",2.8,2.8,"12,168.6 sqm"
1928,TWIN REGENCY,"TWIN REGENCY, Singapore",2.1,2.1,
1929,TWIN VEW,"TWIN VEW, Singapore",2.8,2.8,"16,378.3 sqm"
1930,TWIN WATERFALLS,"TWIN WATERFALLS, Singapore",2.8,2.8,
1931,TYRWHITT 139,"TYRWHITT 139, Singapore",3.0,3.0, 
1933,UNI BUILDING,"UNI BUILDING, Singapore",1.4,1.4, 
1934,UNIT 8,"UNIT 8, Singapore",1.4,1.4, 
1937,URBAN EDGE @ HOLLAND V,"URBAN EDGE @ HOLLAND V, Singapore",2.1,2.1,
1938,URBAN LOFTS,"URBAN LOFTS, Singapore",3.0,3.0, 
1939,URBAN RESIDENCES,"URBAN RESIDENCES, Singapore",1.4,1.4,126.67 sqm
1941,URBAN SUITES,"URBAN SUITES, Singapore",2.8,2.8, 
1942,URBAN VISTA,"URBAN VISTA, Singapore",2.8,2.8,"13,998.5 sqm"
1943,URBANA,"URBANA, Singapore",2.8,2.8, 
1944,VA RESIDENCES,"VA RESIDENCES, Singapore",2.8,2.8,"1,045.4 sqm"
1945,VACANZA @ EAST,"VACANZA @ EAST, Singapore",2.1,2.1, 
1947,VALLEY MANSION,"VALLEY MANSION, Singapore",1.4,1.4, 
1948,VALLEY PARK,"VALLEY PARK, Singapore",2.8,2.8, 
1951,VENEZIO,"VENEZIO, Singapore",2.8,2.8,
1952,VENTANA,"VENTANA, Singapore",1.4,1.4, 
1953,VENTUNO BALMORAL,"VENTUNO BALMORAL, Singapore",1.6,1.6, 
1955,VERANDA,"VERANDA, Singapore",1.4,1.4, 
1956,VERDUN HOUSE,"VERDUN HOUSE, Singapore",4.2,3.0, 
1957,VERDURE,"VERDURE, Singapore",1.4,1.4, 
1958,VERSAILLES,"VERSAILLES, Singapore",2.8,2.8,
1960,VERTIS,"VERTIS, Singapore",2.8,2.8,
1961,VIBES @ EAST COAST,"VIBES @ EAST COAST, Singapore",3.0,3.0,"2,412.9 sqm"
1962,VIBES @ KOVAN,"VIBES @ KOVAN, Singapore",3.0,3.0, 
1964,VICENTA LODGE,"VICENTA LODGE, Singapore",1.4,1.4, 
1965,VICTORY 8,"VICTORY 8, Singapore",1.4,1.4, 
1966,VICTORY HEIGHTS,"VICTORY HEIGHTS, Singapore",2.8,2.8, 
1967,VIDA,"VIDA, Singapore",2.8,2.8, 
1968,VIENTO,"VIENTO, Singapore",1.4,1.4,
1969,VIIO @ BALESTIER,"VIIO @ BALESTIER, Singapore",3.0,3.0,"2,047.7 sqm"
1970,VILLA AZURA,"VILLA AZURA, Singapore",1.4,1.4,
1973,VILLA DE WEST,"VILLA DE WEST, Singapore",2.8,2.8,
1976,VILLA MARINA,"VILLA MARINA, Singapore",1.4,1.4, 
1979,VILLAGE @ PASIR PANJANG,"VILLAGE @ PASIR PANJANG, Singapore",3.0,3.0,
1980,VILLAGE TOWER,"VILLAGE TOWER, Singapore",2.1,2.1, 
1981,VILLAS LAGUNA,"VILLAS LAGUNA, Singapore",1.4,1.4, 
1982,VILLE ROYALE,"VILLE ROYALE, Singapore",2.8,2.8,
1983,VINA LODGE,"VINA LODGE, Singapore",1.4,1.4,
1985,VISTA PARK,"VISTA PARK, Singapore",1.4,1.4,
1986,VISTA RESIDENCES,"VISTA RESIDENCES, Singapore",2.8,2.8, 
1988,VIVA,"VIVA, Singapore",2.1,2.1,
1989,VIVA VISTA,"VIVA VISTA, Singapore",3.0,3.0,"3,625.6 sqm"
1990,VIVACE,"VIVACE, Singapore",2.8,2.8,
1991,VIZ AT HOLLAND,"VIZ AT HOLLAND, Singapore",3.0,3.0,
1992,VOGX,"VOGX, Singapore",1.4,1.4,87.25 sqm
1993,VOLARI,"VOLARI, Singapore",1.6,1.6, 
1995,WAI WING CENTRE,"WAI WING CENTRE, Singapore",3.0,3.0, 
1998,WARNER COURT,"WARNER COURT, Singapore",1.4,1.4, 
1999,WATERBANK AT DAKOTA,"WATERBANK AT DAKOTA, Singapore",1.4,1.4,
2000,WATERBAY,"WATERBAY, Singapore",3.0,3.0,"13,241.8 sqm"
2001,WATERCOLOURS,"WATERCOLOURS, Singapore",2.1,2.1, 
2002,WATERFALL GARDENS,"WATERFALL GARDENS, Singapore",1.6,1.6, 
2003,WATERFORD RESIDENCE,"WATERFORD RESIDENCE, Singapore",2.8,2.8, 
2004,WATERFRONT @ FABER,"WATERFRONT @ FABER, Singapore",1.4,1.4, 
2005,WATERFRONT GOLD,"WATERFRONT GOLD, Singapore",2.5,2.8,"20,800 sqm"
2006,WATERFRONT ISLE,"WATERFRONT ISLE, Singapore",2.5,2.8,"20,800 sqm"
2007,WATERFRONT KEY,"WATERFRONT KEY, Singapore",2.5,2.8,"20,800 sqm"
2008,WATERFRONT WAVES,"WATERFRONT WAVES, Singapore",2.8,2.8,
2010,WATERVIEW,"WATERVIEW, Singapore",1.4,1.4,
2011,WATERWOODS,"WATERWOODS, Singapore",3.0,3.0, 
2012,WEMBLY RESIDENCES,"WEMBLY RESIDENCES, Singapore",2.1,2.1,
2013,WEST BAY CONDOMINIUM,"WEST BAY CONDOMINIUM, Singapore",1.4,1.4,
2014,WESTCOVE CONDOMINIUM,"WESTCOVE CONDOMINIUM, Singapore",1.6,1.6, 
2016,WESTMERE,"WESTMERE, Singapore",2.8,2.8, 
2018,WESTPOINT CONDOMINIUM,"WESTPOINT CONDOMINIUM, Singapore",1.4,1.4,
2019,WESTWOOD RESIDENCES,"WESTWOOD RESIDENCES, Singapore",2.8,2.8,"17,284.8 sqm"
2022,WHITEWATER,"WHITEWATER, Singapore",2.8,2.8, 
