Index,Condo Name,Address,Postal Code
245,CARMI MANSIONS,"38 Lorong 33 Geylang, 387991",387991
246,CARPMAEL THIRTY-EIGHT,"38 Carpmael Road, 429781",429781
247,CASA AERATA,"9 Lorong 26 Geylang, 398484",398484
248,CASA AL MARE,"75 Jalan Loyang Besar, 50693",506930
249,CASA AROMA,"21 Chiku Road, 429433",429433
250,CASA CAIRNHILL,"1 Peck Hay Road, 228305",228305
251,CASA CAMBIO,"9 Lim Tua Tow Road, 547726",547726
252,CASA CONTENDERE,"39 Gilstead Road, 309083",309083
253,CASA EMERALD,"51 Lorong 32 Geylang, 398311",398311
254,CASA ESPANIA,"17 Gambir Walk, 538977",538977
255,CASA ESPERANZA,"995 Bukit Timah Road, 589632",589632
256,CASA FELIZ,"81 Koon Seng Road, 427024",427024
257,CASA FIDELIO,"114 Fidelio Street, 458482",458482
258,CASA FLORA,"21 Salam Walk, 467169",467169
259,CASA FORTUNA,"36 Ah Hood Road, 32998",329980
260,CASA IRRAWADDY,"61 Irrawaddy Road, 329557",329557
261,CASA JERVOIS,"99 Jervois Road, 249055",249055
262,CASA MELWANI,"7 Surrey Road, 307746",307746
263,CASA MERAH,"50 Tanah Merah Kechil Avenue, 465524",465524
264,CASA MEYA,"25 Meyappa Chettiar Road, 358464",358464
265,CASA NOVACREST,"17 Peck Hay Road, 228313",228313
266,CASA PASIR RIS,"201 Jalan Loyang Besar, 509506",509506
267,CASA RIVIERA,"19 Lim Tua Tow Road, 547766",547766
268,CASA ROSA,"35 Lorong Ong Lye, 536443",536443
269,CASA SARINA,"101 Lorong Sarina, 416729",416729
270,CASA UNO,"1 Stevens Close, 257939",257939
271,CASABELLA,"192 Duchess Avenue, 266323",266323
272,CASABLANCA,"21 Rosewood Drive, 737917",737917
273,CASAFINA,"211 Bedok South Avenue 1, 469336",469336
274,CASCADALE,"730 Upper Changi Road East, 486858",486858
275,CASCATA,"7 Teo Kim Eng Road, 416378",416378
276,CASERO @ DUNMAN,"489 Dunman Road, 439192",439192
277,CASHEW PARK CONDOMINIUM,"50 Cashew Road, 679633",679633
278,CASPIAN,"50 Lakeside Drive, 648315",648315
279,CASSIA EDGE,"343 Guillemard Road, 399764",399764
280,CASSIA VIEW,"320 Guillemard Road, 399746",399746
281,CASTLE GREEN,"481 Yio Chu Kang Road, 787056",787056
282,CASTLE LOFT,"133 Lorong K Telok Kurau, 42577",425770
283,CAVAN ROAD,"1 Cavan Road, 209842",209842
284,CAVENAGH COURT,"151 Cavenagh Road, 229628",229628
285,CAVENAGH GARDENS,"69 Cavenagh Road, 229622",229622
286,CAVENAGH HOUSE,"100 Clemenceau Avenue North, 229491",229491
287,CAVENAGH LODGE,"81 Cavenagh Road, 229626",229626
288,CAVENDISH PARK,"16 Pine Grove, 597593",597593
289,CELADON VIEW,"45 Jalan Loyang Besar, 507029",507029
290,CELESTIA,"160 Joo Chiat Terrace, 427305",427305
291,CENTRA HEIGHTS,"455 Sims Avenue, 387607",387607
292,CENTRA LOFT,"3 Lorong 35 Geylang, 387935",387935
293,CENTRA RESIDENCE,"8 Lorong 7 Geylang, 388792",388792
294,CENTRA STUDIOS,"25 Lorong 25 Geylang, 388302",388302
295,CENTRA SUITES,"38 Lorong 25a Geylang, 388242",388242
296,CENTRAL GREEN CONDOMINIUM,"1 Jalan Membina, 169479",169479
297,CENTRAL GROVE,"1 Geylang East Avenue 1, 389778",389778
298,CENTRAL IMPERIAL,"3 Lorong 14 Geylang, 398915",398915
299,CENTRAL MEADOWS,"51 Lorong 34 Geylang, 39824",398240
300,CENTRAL VIEW,"50 Hougang Street 11, 538749",538749
301,CENTRINA,"11 Everitt Road North, 428524",428524
302,CENTRO MANSIONS,"20 Lorong 32 Geylang, 39828",398280
303,CENTRO RESIDENCES,"59 Ang Mo Kio Avenue 8, 567752",567752
304,CEYLON CREST,"30 Ceylon Road, 429623",429623
305,CEYLON POINT,"94 Ceylon Road, 429674",429674
306,CEYLON RESIDENCE,"107 Ceylon Road, 42969",429690
307,CHANCERY ESQUIRE,"8 Chancery Lane, 309494",309494
308,CHANCERY PARK,"9 Chancery Lane, 309499",309499
309,CHANGI COURT,"698 Upper Changi Road East, 486828",486828
310,CHANGI GARDEN,"961 Upper Changi Road North, 507663",507663
311,CHANGI GREEN,"712 Upper Changi Road East, 486842",486842
312,CHANTILLY RISE,"80 Hillview Avenue, 669579",669579
313,CHAPEL COURT,"27 Sea Avenue, 424247",424247
314,CHAPEL LODGE,"41 Lorong Stangee, 425032",425032
315,CHARISMA VIEW,"167 Jalan Jurong Kechil, 598671",598671
316,CHARLESTON,"10 Shanghai Road, 248184",248184
317,CHARLTON CORNER,"1 Charlton Lane, 539631",539631
318,CHARMING GARDEN,"138 King's Road, 268156",268156
319,CHATEAU LE FAME,"51 Ewe Boon Road, 259345",259345
320,CHELSEA GARDENS,"6 Walshe Road, 25765",257652
321,CHELSEA LODGE,"300 Tanjong Katong Road, 437083",437083
