Index,Condo Name,Address
402,D'HIRO @ HILLSIDE,"61 Hillside Drive, 54901"
403,D'LEEDON,"13 Leedon Heights, 266224"
404,D'LOTUS,"10 Lorong Ampas, 328784"
405,D'MIRA,"31 Boon Teck Road, 329602"
406,D'NEST,"131 Pasir Ris Grove, 51813"
407,D'OASIA,"11 Lorong Melayu, 416905"
408,D'PAVILION,"803 Upper Serangoon Road, 534163"
409,D'SUNRISE,"8 Joo Chiat Lane, 428094"
410,D'WEAVE,"5 Lorong 39 Geylang, 387866"
411,D'ZIRE,"12 Robey Crescent, 54629"
412,DAHLIA PARK CONDOMINIUM,"1 Flora Drive, 507009"
413,DAISY LODGE,"3 Daisy Road, 359426"
414,DAISY SUITES,"35 Daisy Road, 359455"
415,DAKOTA RESIDENCES,"34 Dakota Crescent, 399936"
416,DALVEY COURT,"28 Dalvey Estate, 259548"
417,DARBY PARK,"12 Orange Grove Road, 258353"
418,DAWN VILLE,"1 Butterworth Lane, 439444"
419,DE LENTE,"104 Holland Road, 278547"
420,DE PARADISO,"20 Martaban Road, 328644"
421,DE ROYALE,"31 Jalan Rama Rama, 329111"
422,DELIGHT COURT,"16 Lorong 33 Geylang, 387982"
423,DENG FU VILLE,"30 Kampong Eunos, 417777"
424,DERBYSHIRE HEIGHTS,"3 Derbyshire Road, 309459"
425,DEVONSHIRE APARTMENTS,"17 Devonshire Road, 239849"
426,DEVONSHIRE RESIDENCES,"55 Devonshire Road, 239855"
427,DLV,"70 Dalvey Road, 259469"
428,DOMAIN 21,"21 Delta Road, 169813"
429,DOMUS,"8 Irrawaddy Road, 329564"
430,DONG XING COURT,"3 Tay Lian Teck Road, 45562"
431,DORMER PARK,"51 Jervois Road, 249045"
432,DORSET MANSIONS,"99 Dorset Road, 219493"
433,DORSETT RESIDENCES,"331 New Bridge Road, 88764"
434,DOVER PARKVIEW,"34 Dover Rise, 138681"
435,DRAYCOTT DRIVE,"7 Draycott Drive, 259421"
436,DRAYCOTT PARK,"1 Draycott Park, 259385"
437,DUBLIN LODGE,"28 Dublin Road, 239813"
438,DUCHESS MANOR,"20 Duchess Road, 268988"
439,DUCHESS RESIDENCES,"102 Duchess Avenue, 26631"
