Condo Name,Address,Postal Code
CHAR YONG GARDENS,1 Hullet Road,229157
CHARISMA VIEW,167 Jalan Jurong Kechil,598671
CHARLES VILLE,418 Upper Paya Lebar Road,534996
CHARLESTON,10 Shanghai Road,248184
CHARLTON CORNER,1 Charlton Lane,539631
CHARLTON GARDEN,40c Charlton Road,533811
CHARLTON GARDENS,39 Charlton Road,539607
CHARMING GARDEN,138 King's Road,268156
CHATEAU DE HOLLANDE,Holland Road,
CHATEAU ELIZA,18 Mount Elizabeth,228514
CHATEAU LE FAME,51 Ewe Boon Road,259345
CHATELET,16a Margoliouth Road,258541
CHELSEA GARDENS,6 Walshe Road,257650
CHELSEA GROVE,2 Martaban Road,328626
CHELSEA LODGE,300 Tanjong Katong Road,437083
CHEN FANG MANSIONS,26 Lorong 33 Geylang,387986
CHEN YUAN BUILDING,River Valley Close,
CHENG HOE HOUSE,10 Kovan Road,548036
CHERRY GARDENS,61 Lorong Lew Lian,536491
CHERRYHILL,21 Lorong Lew Lian,536467
CHESTERVALE,31 Bangkit Road,679973
CHESTNUT-VILLE,2 Jalan Pakis,678595
CHEZ BRIGHT APARTMENT,18 St. Thomas Walk,238106
CHIANG'S MANSIONS,Upper East Coast Road,
CHIKU MANSIONS,5 Chiku Road,429419
CHILTERN PARK CONDO,131 Serangoon Avenue 3,556112
CHIVERTON,50 Ewe Boon Road,259343
CHNG MANSIONS,120 Arthur Road,439828
CHONG KIM APARTMENT,8 Bassein Road,309838
CHOON KIM HOUSE,780 Upper Serangoon Road,534649
CHOON MOEY MANSIONS,36 Lorong 31 Geylang,388034
CHUAN COURT,131 Lorong Chuan,556740
CHUAN GREEN,76 Chuan Drive,554823
CHUAN LOFT,60 Chuan Drive,554611
CHUAN PARK,240 Lorong Chuan,556743
CHUAN SEVEN,18 Chuan Drive,554865
CHUNG CHIN FLATS,344 East Coast Road,428963
CITIGATE RESIDENCE,168 Rangoon Road,218437
CITIPORT CENTRE,50 Telok Blangah Road,098828
CITY EDGE,14 Moulmein Rise,308129
CITY GATE,371 Beach Road,199597
CITY LOFT,363 Race Course Road,218636
CITY MANSION,Paterson Road,
CITY PLAZA,810 Geylang Road,409286
CITY REGENCY,18 Saint Michael's Road,327977
CITY SQUARE RESIDENCES,14 Kitchener Link,207223
CITY STUDIOS,30 Race Course Lane,218745
CITY SUITES,235 Balestier Road,329699
CITY TOWERS,317 Bukit Timah Road,259711
CITYLIFE @ TAMPINES,69 Tampines Central 7,528596
CITYLIFE@TAMPINES,57 Tampines Central 7,528593
CITYLIGHTS,82 Jellicoe Road,208741
CITYSCAPE @ FARRER PARK,101 Mergui Road,219067
CITYVISTA RESIDENCES,21 Peck Hay Road,228314
CLAREMONT,161 Killiney Road,239569
CLAYMORE PLAZA,6 Claymore Hill,229571
CLAYMORE PLAZA APARTMENT,Claymore Hill,
CLAYMORE POINT,Claymore Hill,229572
CLEMENTI PARK,115 Sunset Way,597149
CLEMENTIWOODS CONDOMINIUM,90 West Coast Road,126810
CLERMONT RESIDENCE,3 Wallich Street,078882
CLIFTEN,48 Ewe Boon Road,259342
CLIVEDEN AT GRANGE,100 Grange Road,249591
CLOVER BY THE PARK,2 Bishan Street 25,573973
CLOVER PARK,12 Jalan Binchang,574037
CLUNY COURT,501 Bukit Timah Road,259760
